iterations,time,pi,accurency
100000,0.0,0.31415826535897934884626433520272e1,4
500000,4.0,0.31415906535897932404626433832468e1,5
1000000,8.0,0.31415916535897932387126433832549e1,5
5000000,41.0,0.31415924535897932384646433832671e1,6
10000000,81.0,0.31415925535897932384628933832865e1,6
50000000,409.0,0.31415926335897932384626453833051e1,7
100000000,818.2,0.31415926435897932384626436332506e1,7
250000000,2045.0,0.31415926495897932384626433989816e1,7
400000000,3272.4,0.31415926510897932384626433865197e1,8
500000000,4092.6,0.31415926515897932384626433844031e1,8
