iterations,time,pi,accuracy
100000,3.0,0.31415926535897929884701432645313e1,14
150000,4.2,0.31415926535897931643900507750483e1,15
200000,6.0,0.31415926535897932072131121295663e1,16
500000,16.0,0.31415926535897932364626553832381e1,17
1000000,33.0,0.3141592653589793238212644133278e1,18
2500000,82.2,0.31415926535897932384466434024903e1,19
5000000,165.8,0.3141592653589793238460643384495e1,20
10000000,331.4,0.31415926535897932384623933833408e1,21
25000000,829.8,0.31415926535897932384626273833029e1,22
50000000,1658.4,0.31415926535897932384626413832963e1,23
